name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-21,26,12,18.2,26,12,18.2,9.4,59.5,0,0,0,,0,0,21.2,9.4,258.8,1015.4,0,1.7,180.1,15.6,7,10,2024-11-21T06:49:09,2024-11-21T17:25:49,0.67,Clear,Clear conditions throughout the day.,clear-day,VIDP
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-22,26,13,18.8,26,13,18.8,11.1,63.8,0,0,0,,0,0,10.4,7.6,261.9,1015.2,0,1.4,163.5,14.1,6,10,2024-11-22T06:49:57,2024-11-22T17:25:33,0.71,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-23,28,13,20,27,13,19.9,11,61,0,0,0,,0,0,19.4,7.6,183.3,1015.7,0.2,1.6,172.5,15,7,10,2024-11-23T06:50:45,2024-11-23T17:25:19,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-24,28,15,20.6,27,15,20.5,10.8,56.8,0,0,0,,0,0,29.9,14.8,260.5,1015.5,0,2.6,172.9,15.1,7,10,2024-11-24T06:51:33,2024-11-24T17:25:07,0.77,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-25,25,15,19.4,25,15,19.4,12.9,67.3,0,0,0,,0,0,30.2,14.8,263.6,1015.5,0.4,1.7,172.6,15,7,10,2024-11-25T06:52:21,2024-11-25T17:24:56,0.81,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-26,25,14,18.9,25,14,18.9,11.2,63.4,0,0,0,,0,0,26.3,13,266.1,1015.7,0,2.4,173.4,15.1,7,10,2024-11-26T06:53:08,2024-11-26T17:24:46,0.84,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-27,25,14,18.7,25,14,18.7,9.6,58.8,0,0,0,,0,0,22.7,11.2,287.8,1015.2,0,2.6,173.6,15.1,7,10,2024-11-27T06:53:56,2024-11-27T17:24:39,0.87,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-28,25,13,18.3,25,13,18.3,9.5,60.5,0,0,0,,0,0,19.8,9.4,339.2,1016.9,0,2.3,174.4,15.2,7,10,2024-11-28T06:54:43,2024-11-28T17:24:33,0.9,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-29,25,12,18,25,12,18,9.6,60.9,0,0,0,,0,0,15.8,7.6,289.4,1017.5,0,2.1,171.8,15,7,10,2024-11-29T06:55:30,2024-11-29T17:24:29,0.94,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2024-11-30,25,11,18.1,25,11,18.1,10.4,64.3,0,0,0,,0,0,23,11.2,275.5,1015.6,0,2,169.1,14.6,6,10,2024-11-30T06:56:17,2024-11-30T17:24:26,0.97,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-01,25,14,18.7,25,14,18.7,11,63.8,0,0,0,,0,0,20.5,14.8,271.4,1013.9,0,2.5,165.4,14.3,6,10,2024-12-01T06:57:03,2024-12-01T17:24:25,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-02,26,13.8,18.6,26,13.8,18.6,11.6,66.8,0,0,0,,0,0,22.3,9.4,276,1014.1,0,2.6,167.6,14.5,6,10,2024-12-02T06:57:50,2024-12-02T17:24:25,0.04,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-03,26,13,18.9,26,13,18.9,11.5,65.2,0,0,0,,0,0,25.2,14.8,274.2,1016,2.3,2.6,167.1,14.5,6,10,2024-12-03T06:58:35,2024-12-03T17:24:28,0.07,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-04,26,13,18.9,26,13,18.9,9,56.9,0,0,0,,0,0,34.9,18.4,267.3,1015.4,0,3.1,167.9,14.4,6,10,2024-12-04T06:59:20,2024-12-04T17:24:31,0.11,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-05,24,11,17,24,11,17,5.2,48.1,0,0,0,,0,0,30.2,18.5,265.2,1015,0,3.7,172.1,14.9,7,10,2024-12-05T07:00:05,2024-12-05T17:24:37,0.14,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-06,24,11,16.7,24,11,16.7,5.7,50.9,0,0,0,,0,0,32,16.5,282.8,1013.9,0,3.5,169.5,14.7,6,10,2024-12-06T07:00:49,2024-12-06T17:24:44,0.18,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"INDIRA GANDHI INTERNATIONAL, IN",2024-12-07,23,11,16,23,11,16,5.1,51.5,0,0,0,,0,0,16.6,7.6,286.7,1013.5,0,3.3,169.8,14.9,7,10,2024-12-07T07:01:32,2024-12-07T17:24:53,0.21,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
