date,pm25,pm10,co,no2,so2,o3,AQI,tempmax,tempmin,temp,humidity,dew,windspeed,winddir,windgust,precip,cloudcover,visibility,sealevelpressure
2013-12-31,128.0,196.0,19.0,11.0,9.0,30.0,196.0,16.9,8.5,13.3,86.7,11.1,17.0,123.7,26.3,0.5,95.3,2.2,1019.4
2014-01-01,311.0,181.0,22.0,14.0,5.0,42.0,311.0,17.8,7.8,12.6,87.9,10.5,14.7,282.2,26.3,0.0,53.4,1.1,1020.4
2014-01-02,262.0,188.0,28.0,13.0,7.0,48.0,262.0,17.5,4.0,9.9,79.2,5.6,18.4,269.7,31.7,0.0,21.2,1.4,1019.6
2014-01-03,272.0,348.0,46.0,31.0,7.0,8.0,348.0,18.1,4.0,10.8,68.5,4.3,14.8,270.3,27.0,0.0,5.7,1.8,1017.8
2014-01-04,393.0,333.0,39.0,19.0,4.0,27.0,393.0,19.0,9.0,13.4,77.8,9.2,14.8,97.0,17.6,0.0,42.7,0.9,1015.8
2014-01-05,469.0,290.0,32.0,12.0,7.0,34.0,469.0,16.1,8.0,11.7,93.9,10.8,10.8,264.1,20.9,0.0,42.3,0.2,1014.1
2014-01-06,374.0,243.0,28.0,13.0,8.0,43.0,374.0,16.0,7.0,10.1,92.3,8.8,12.6,268.3,24.5,0.0,45.8,0.5,1016.3
2014-01-07,324.0,276.0,30.0,20.0,8.0,20.0,324.0,18.0,6.0,11.2,72.7,5.8,14.7,261.0,25.6,0.0,12.1,1.2,1017.1
2014-01-08,310.0,310.0,39.0,21.0,7.0,22.0,310.0,20.1,3.8,11.2,75.4,5.7,11.2,147.1,16.9,0.0,26.7,1.3,1017.1
2014-01-09,430.0,249.0,34.0,22.0,4.0,24.0,430.0,18.1,8.0,11.7,84.8,8.8,11.2,3.7,18.0,0.0,32.9,0.5,1016.5
2014-01-10,422.0,158.0,22.0,9.0,7.0,28.0,422.0,18.1,1.2,11.0,83.3,7.7,11.0,301.7,19.4,0.0,8.1,0.8,1015.9
2014-01-11,246.0,211.0,24.0,12.0,4.0,37.0,246.0,18.0,5.8,11.7,79.3,7.8,20.5,288.1,31.3,0.0,8.4,1.3,1018.1
2014-01-12,271.0,225.0,26.0,15.0,8.0,46.0,271.0,19.0,6.0,12.2,82.9,8.9,12.9,277.5,20.5,0.0,15.1,0.7,1020.4
2014-01-13,302.0,224.0,28.0,15.0,10.0,38.0,302.0,20.0,8.0,13.5,71.9,7.5,11.2,295.6,18.7,0.0,45.9,1.2,1019.3
2014-01-14,337.0,375.0,31.0,17.0,4.0,5.0,375.0,21.0,7.8,14.0,73.8,8.2,13.0,304.1,16.9,0.0,21.4,1.3,1016.7
2014-01-15,398.0,392.0,33.0,18.0,5.0,17.0,398.0,16.0,9.0,11.9,92.0,10.6,11.1,112.5,12.2,0.0,46.6,0.3,1018.5
2014-01-16,428.0,221.0,26.0,12.0,5.0,4.0,428.0,15.1,9.1,11.9,95.3,11.1,11.0,282.3,15.8,0.0,59.9,0.5,1018.9
2014-01-17,327.0,165.5,23.5,22.5,7.5,4.5,327.0,13.0,9.0,11.3,96.7,10.8,17.4,105.8,29.9,0.004,58.1,1.1,1017.4
