date,pm25,pm10,o3,no2,so2,co,AQI_pm25,AQI_pm10,AQI_o3,AQI_no2,AQI_so2,AQI_co,AQI
31-12-2013,,196.0,30.0,11.0,9.0,19.0,,196.0,30.0,11.0,9.0,19.0,196.0
01-01-2014,311.0,181.0,42.0,14.0,5.0,22.0,311.0,181.0,42.0,14.0,5.0,22.0,311.0
02-01-2014,262.0,188.0,48.0,13.0,7.0,28.0,262.0,188.0,48.0,13.0,7.0,28.0,262.0
03-01-2014,272.0,348.0,8.0,31.0,7.0,46.0,272.0,348.0,8.0,31.0,7.0,46.0,348.0
04-01-2014,393.0,333.0,27.0,19.0,4.0,39.0,393.0,333.0,27.0,19.0,4.0,39.0,393.0
05-01-2014,469.0,290.0,34.0,12.0,7.0,32.0,469.0,290.0,34.0,12.0,7.0,32.0,469.0
06-01-2014,374.0,243.0,43.0,13.0,8.0,28.0,374.0,243.0,43.0,13.0,8.0,28.0,374.0
07-01-2014,324.0,276.0,20.0,20.0,8.0,30.0,324.0,276.0,20.0,20.0,8.0,30.0,324.0
08-01-2014,310.0,310.0,22.0,21.0,7.0,39.0,310.0,310.0,22.0,21.0,7.0,39.0,310.0
09-01-2014,430.0,249.0,24.0,22.0,4.0,34.0,430.0,249.0,24.0,22.0,4.0,34.0,430.0
10-01-2014,422.0,158.0,28.0,9.0,7.0,22.0,422.0,158.0,28.0,9.0,7.0,22.0,422.0
11-01-2014,246.0,211.0,37.0,12.0,4.0,24.0,246.0,211.0,37.0,12.0,4.0,24.0,246.0
12-01-2014,271.0,225.0,46.0,15.0,8.0,26.0,271.0,225.0,46.0,15.0,8.0,26.0,271.0
13-01-2014,302.0,224.0,38.0,15.0,10.0,28.0,302.0,224.0,38.0,15.0,10.0,28.0,302.0
14-01-2014,337.0,375.0,5.0,17.0,4.0,31.0,337.0,375.0,5.0,17.0,4.0,31.0,375.0
15-01-2014,398.0,392.0,17.0,18.0,5.0,33.0,398.0,392.0,17.0,18.0,5.0,33.0,398.0
16-01-2014,428.0,221.0,4.0,12.0,5.0,26.0,428.0,221.0,4.0,12.0,5.0,26.0,428.0
17-01-2014,327.0,174.0,9.0,14.0,6.0,25.0,327.0,174.0,9.0,14.0,6.0,25.0,327.0
19-01-2014,265.5,127.0,14.0,16.0,7.0,24.0,265.5,127.0,14.0,16.0,7.0,24.0,265.5
20-01-2014,204.0,110.0,5.0,33.0,10.0,21.0,204.0,110.0,5.0,33.0,10.0,21.0,204.0
21-01-2014,235.0,89.0,3.0,53.0,8.0,19.0,235.0,89.0,3.0,53.0,8.0,19.0,235.0
22-01-2014,128.0,105.0,6.0,39.0,9.0,18.0,128.0,105.0,6.0,39.0,9.0,18.0,128.0
23-01-2014,130.0,112.0,11.0,31.0,7.0,17.0,130.0,112.0,11.0,31.0,7.0,17.0,130.0
24-01-2014,132.0,116.0,17.0,29.0,6.0,16.0,132.0,116.0,17.0,29.0,6.0,16.0,132.0
25-01-2014,135.0,130.0,21.5,30.5,7.0,17.5,135.0,130.0,21.5,30.5,7.0,17.5,135.0
26-01-2014,186.5,144.0,26.0,32.0,8.0,19.0,186.5,144.0,26.0,32.0,8.0,19.0,186.5
27-01-2014,238.0,156.0,30.0,30.0,11.0,20.0,238.0,156.0,30.0,30.0,11.0,20.0,238.0
28-01-2014,202.0,243.0,7.0,48.0,12.0,25.0,202.0,243.0,7.0,48.0,12.0,25.0,243.0
29-01-2014,264.0,245.0,11.0,55.0,12.0,27.0,264.0,245.0,11.0,55.0,12.0,27.0,264.0
30-01-2014,310.0,211.0,11.0,47.0,21.0,25.0,310.0,211.0,11.0,47.0,21.0,25.0,310.0
31-01-2014,296.0,288.0,14.0,55.0,27.0,24.0,296.0,288.0,14.0,55.0,27.0,24.0,296.0
01-02-2014,338.0,217.0,35.0,46.0,15.0,27.0,338.0,217.0,35.0,46.0,15.0,27.0,338.0
02-02-2014,261.0,177.0,31.0,49.0,13.0,26.0,261.0,177.0,31.0,49.0,13.0,26.0,261.0
03-02-2014,202.0,221.0,28.0,59.0,14.0,29.0,202.0,221.0,28.0,59.0,14.0,29.0,221.0
04-02-2014,225.0,147.0,18.0,26.0,13.0,16.0,225.0,147.0,18.0,26.0,13.0,16.0,225.0
05-02-2014,190.0,179.0,15.0,44.0,12.0,21.0,190.0,179.0,15.0,44.0,12.0,21.0,190.0
06-02-2014,196.0,106.0,19.0,20.0,11.0,15.0,196.0,106.0,19.0,20.0,11.0,15.0,196.0
07-02-2014,151.0,100.0,13.0,16.0,6.0,16.0,151.0,100.0,13.0,16.0,6.0,16.0,151.0
08-02-2014,166.0,93.0,50.0,19.0,11.0,16.0,166.0,93.0,50.0,19.0,11.0,16.0,166.0
09-02-2014,146.0,109.0,46.0,26.0,10.0,20.0,146.0,109.0,46.0,26.0,10.0,20.0,146.0
10-02-2014,161.0,150.0,58.0,36.0,14.0,22.0,161.0,150.0,58.0,36.0,14.0,22.0,161.0
11-02-2014,197.0,128.0,44.0,23.0,7.0,20.0,197.0,128.0,44.0,23.0,7.0,20.0,197.0
12-02-2014,182.0,158.0,31.0,35.0,17.0,21.0,182.0,158.0,31.0,35.0,17.0,21.0,182.0
13-02-2014,201.0,82.0,9.0,23.0,9.0,17.0,201.0,82.0,9.0,23.0,9.0,17.0,201.0
14-02-2014,154.0,95.5,13.5,24.0,8.0,16.5,154.0,95.5,13.5,24.0,8.0,16.5,154.0
16-02-2014,194.0,109.0,18.0,25.0,7.0,16.0,194.0,109.0,18.0,25.0,7.0,16.0,194.0
17-02-2014,234.0,129.0,53.0,34.0,12.0,21.0,234.0,129.0,53.0,34.0,12.0,21.0,234.0
18-02-2014,180.0,212.0,22.0,86.0,10.0,32.0,180.0,212.0,22.0,86.0,10.0,32.0,212.0
19-02-2014,268.0,209.0,35.0,61.0,11.0,27.0,268.0,209.0,35.0,61.0,11.0,27.0,268.0
20-02-2014,244.0,168.0,27.0,59.0,9.0,29.0,244.0,168.0,27.0,59.0,9.0,29.0,244.0
21-02-2014,356.0,127.0,14.0,27.0,3.0,18.0,356.0,127.0,14.0,27.0,3.0,18.0,356.0
22-02-2014,185.0,133.0,25.0,22.0,2.0,17.0,185.0,133.0,25.0,22.0,2.0,17.0,185.0
23-02-2014,189.0,109.0,46.0,26.0,2.0,19.0,189.0,109.0,46.0,26.0,2.0,19.0,189.0
24-02-2014,167.0,138.0,56.0,37.0,4.0,20.0,167.0,138.0,56.0,37.0,4.0,20.0,167.0
25-02-2014,184.0,183.0,29.0,48.0,9.0,23.0,184.0,183.0,29.0,48.0,9.0,23.0,184.0
26-02-2014,218.0,86.0,17.0,25.0,4.0,6.0,218.0,86.0,17.0,25.0,4.0,6.0,218.0
27-02-2014,129.0,61.0,11.0,24.0,3.0,4.0,129.0,61.0,11.0,24.0,3.0,4.0,129.0
28-02-2014,120.0,89.0,25.0,29.0,4.0,6.0,120.0,89.0,25.0,29.0,4.0,6.0,120.0
01-03-2014,160.0,87.0,32.0,24.0,2.0,6.0,160.0,87.0,32.0,24.0,2.0,6.0,160.0
02-03-2014,154.0,98.0,51.0,26.0,4.0,6.0,154.0,98.0,51.0,26.0,4.0,6.0,154.0
03-03-2014,142.0,115.0,35.0,32.0,5.0,8.0,142.0,115.0,35.0,32.0,5.0,8.0,142.0
04-03-2014,155.0,106.0,36.0,29.0,5.0,5.0,155.0,106.0,36.0,29.0,5.0,5.0,155.0
05-03-2014,138.0,91.0,36.0,25.0,5.0,4.0,138.0,91.0,36.0,25.0,5.0,4.0,138.0
06-03-2014,161.0,107.0,51.0,20.0,4.0,5.0,161.0,107.0,51.0,20.0,4.0,5.0,161.0
07-03-2014,151.0,103.0,42.0,20.0,5.0,5.0,151.0,103.0,42.0,20.0,5.0,5.0,151.0
08-03-2014,148.0,119.0,62.0,23.0,4.0,7.0,148.0,119.0,62.0,23.0,4.0,7.0,148.0
09-03-2014,174.0,60.0,14.0,28.0,6.0,4.0,174.0,60.0,14.0,28.0,6.0,4.0,174.0
10-03-2014,107.0,64.0,16.0,19.0,5.0,3.0,107.0,64.0,16.0,19.0,5.0,3.0,107.0
11-03-2014,97.0,69.0,22.0,24.0,9.0,3.0,97.0,69.0,22.0,24.0,9.0,3.0,97.0
12-03-2014,107.0,83.0,44.0,17.0,5.0,3.0,107.0,83.0,44.0,17.0,5.0,3.0,107.0
13-03-2014,122.0,113.0,63.0,24.0,5.0,7.0,122.0,113.0,63.0,24.0,5.0,7.0,122.0
14-03-2014,148.0,143.0,79.0,30.0,6.0,9.0,148.0,143.0,79.0,30.0,6.0,9.0,148.0
15-03-2014,173.0,139.0,56.0,25.0,5.0,7.0,173.0,139.0,56.0,25.0,5.0,7.0,173.0
16-03-2014,169.0,134.0,36.0,19.0,5.0,7.0,169.0,134.0,36.0,19.0,5.0,7.0,169.0
17-03-2014,183.0,89.0,28.0,14.0,5.0,3.0,183.0,89.0,28.0,14.0,5.0,3.0,183.0
18-03-2014,112.0,81.0,44.0,16.0,5.0,3.0,112.0,81.0,44.0,16.0,5.0,3.0,112.0
19-03-2014,116.0,92.0,48.0,22.0,5.0,5.0,116.0,92.0,48.0,22.0,5.0,5.0,116.0
20-03-2014,138.0,138.0,45.0,42.0,8.0,9.0,138.0,138.0,45.0,42.0,8.0,9.0,138.0
21-03-2014,168.0,127.0,40.0,33.0,6.0,10.0,168.0,127.0,40.0,33.0,6.0,10.0,168.0
22-03-2014,172.0,333.0,22.0,54.0,14.0,14.0,172.0,333.0,22.0,54.0,14.0,14.0,333.0
23-03-2014,344.0,94.0,15.0,23.0,6.0,6.0,344.0,94.0,15.0,23.0,6.0,6.0,344.0
24-03-2014,108.0,127.0,42.0,34.0,10.0,10.0,108.0,127.0,42.0,34.0,10.0,10.0,127.0
25-03-2014,165.0,124.0,42.0,27.0,11.0,6.0,165.0,124.0,42.0,27.0,11.0,6.0,165.0
26-03-2014,168.0,101.0,31.0,28.0,8.0,6.0,168.0,101.0,31.0,28.0,8.0,6.0,168.0
27-03-2014,151.0,104.0,12.0,31.0,5.0,10.0,151.0,104.0,12.0,31.0,5.0,10.0,151.0
28-03-2014,160.0,91.0,21.0,18.0,4.0,5.0,160.0,91.0,21.0,18.0,4.0,5.0,160.0
29-03-2014,149.0,79.0,42.0,16.0,7.0,3.0,149.0,79.0,42.0,16.0,7.0,3.0,149.0
30-03-2014,115.0,94.0,55.0,16.0,6.0,4.0,115.0,94.0,55.0,16.0,6.0,4.0,115.0
31-03-2014,128.0,114.0,71.0,34.0,8.0,8.0,128.0,114.0,71.0,34.0,8.0,8.0,128.0
01-04-2014,162.0,132.0,96.0,57.0,19.0,9.0,162.0,132.0,96.0,57.0,19.0,9.0,162.0
02-04-2014,190.0,104.0,67.0,36.0,15.0,5.0,190.0,104.0,67.0,36.0,15.0,5.0,190.0
03-04-2014,192.0,113.0,57.0,29.0,5.0,4.0,192.0,113.0,57.0,29.0,5.0,4.0,192.0
04-04-2014,156.0,102.0,47.0,36.0,9.0,5.0,156.0,102.0,47.0,36.0,9.0,5.0,156.0
05-04-2014,151.0,143.0,64.0,47.0,8.0,7.0,151.0,143.0,64.0,47.0,8.0,7.0,151.0
06-04-2014,194.0,110.0,36.0,32.0,9.0,5.0,194.0,110.0,36.0,32.0,9.0,5.0,194.0
07-04-2014,148.0,79.0,65.0,27.0,6.0,3.0,148.0,79.0,65.0,27.0,6.0,3.0,148.0
08-04-2014,157.0,94.0,74.0,35.0,8.0,5.0,157.0,94.0,74.0,35.0,8.0,5.0,157.0
09-04-2014,154.0,104.0,26.0,55.0,12.0,5.0,154.0,104.0,26.0,55.0,12.0,5.0,154.0
10-04-2014,171.0,91.0,68.0,39.0,7.0,7.0,171.0,91.0,68.0,39.0,7.0,7.0,171.0
11-04-2014,139.0,157.0,120.0,66.0,19.0,10.0,139.0,157.0,120.0,66.0,19.0,10.0,157.0
12-04-2014,202.0,130.0,38.0,60.0,13.0,7.0,202.0,130.0,38.0,60.0,13.0,7.0,202.0
13-04-2014,171.0,107.0,57.0,51.0,16.0,8.0,171.0,107.0,57.0,51.0,16.0,8.0,171.0
14-04-2014,158.0,170.0,41.0,87.0,14.0,16.0,158.0,170.0,41.0,87.0,14.0,16.0,170.0
15-04-2014,197.0,134.0,75.0,65.0,13.0,10.0,197.0,134.0,75.0,65.0,13.0,10.0,197.0
16-04-2014,172.0,147.0,52.0,70.0,11.0,9.0,172.0,147.0,52.0,70.0,11.0,9.0,172.0
17-04-2014,161.0,80.0,31.0,45.0,6.0,5.0,161.0,80.0,31.0,45.0,6.0,5.0,161.0
18-04-2014,116.0,92.0,62.0,46.0,11.0,6.0,116.0,92.0,62.0,46.0,11.0,6.0,116.0
19-04-2014,152.0,92.5,58.0,47.0,7.5,6.0,152.0,92.5,58.0,47.0,7.5,6.0,152.0
20-04-2014,133.0,93.0,54.0,48.0,4.0,6.0,133.0,93.0,54.0,48.0,4.0,6.0,133.0
21-04-2014,114.0,132.0,84.0,43.0,15.0,5.0,114.0,132.0,84.0,43.0,15.0,5.0,132.0
22-04-2014,147.0,102.0,85.0,40.0,7.0,6.0,147.0,102.0,85.0,40.0,7.0,6.0,147.0
23-04-2014,141.0,147.0,90.0,64.0,13.0,10.0,141.0,147.0,90.0,64.0,13.0,10.0,147.0
24-04-2014,194.0,148.0,96.0,66.0,12.0,9.0,194.0,148.0,96.0,66.0,12.0,9.0,194.0
25-04-2014,178.0,149.0,88.0,58.0,15.0,7.0,178.0,149.0,88.0,58.0,15.0,7.0,178.0
26-04-2014,172.0,127.0,95.0,61.0,11.0,7.0,172.0,127.0,95.0,61.0,11.0,7.0,172.0
27-04-2014,156.0,171.0,75.0,43.0,14.0,7.0,156.0,171.0,75.0,43.0,14.0,7.0,171.0
28-04-2014,196.0,183.0,6.0,102.0,21.0,15.0,196.0,183.0,6.0,102.0,21.0,15.0,196.0
29-04-2014,241.0,113.0,97.0,44.0,9.0,10.0,241.0,113.0,97.0,44.0,9.0,10.0,241.0
30-04-2014,159.0,210.0,97.0,57.0,19.0,14.0,159.0,210.0,97.0,57.0,19.0,14.0,210.0
01-05-2014,223.0,220.0,93.0,28.0,11.0,7.0,223.0,220.0,93.0,28.0,11.0,7.0,223.0
02-05-2014,191.0,141.0,35.0,32.0,8.0,5.0,191.0,141.0,35.0,32.0,8.0,5.0,191.0
03-05-2014,160.0,143.0,56.0,40.0,10.0,6.0,160.0,143.0,56.0,40.0,10.0,6.0,160.0
04-05-2014,172.0,114.0,40.0,33.0,15.0,7.0,172.0,114.0,40.0,33.0,15.0,7.0,172.0
05-05-2014,154.0,98.0,18.0,35.0,9.0,7.0,154.0,98.0,18.0,35.0,9.0,7.0,154.0
06-05-2014,146.0,121.0,58.0,40.0,13.0,8.0,146.0,121.0,58.0,40.0,13.0,8.0,146.0
07-05-2014,172.0,183.0,65.0,43.0,20.0,13.0,172.0,183.0,65.0,43.0,20.0,13.0,183.0
08-05-2014,247.0,146.0,64.0,38.0,11.0,8.0,247.0,146.0,64.0,38.0,11.0,8.0,247.0
09-05-2014,171.0,199.0,90.0,48.0,26.0,11.0,171.0,199.0,90.0,48.0,26.0,11.0,199.0
10-05-2014,205.0,94.0,75.0,26.0,13.0,6.0,205.0,94.0,75.0,26.0,13.0,6.0,205.0
11-05-2014,146.0,168.0,48.0,32.0,10.0,7.0,146.0,168.0,48.0,32.0,10.0,7.0,168.0
12-05-2014,165.0,65.0,42.0,21.0,11.0,5.0,165.0,65.0,42.0,21.0,11.0,5.0,165.0
13-05-2014,135.0,65.0,39.0,21.0,8.0,4.0,135.0,65.0,39.0,21.0,8.0,4.0,135.0
14-05-2014,113.0,114.0,56.0,24.0,11.0,7.0,113.0,114.0,56.0,24.0,11.0,7.0,114.0
15-05-2014,163.0,125.0,56.0,26.0,12.0,7.0,163.0,125.0,56.0,26.0,12.0,7.0,163.0
16-05-2014,162.0,124.0,48.0,35.0,11.0,9.0,162.0,124.0,48.0,35.0,11.0,9.0,162.0
17-05-2014,172.0,122.0,41.0,33.0,11.0,8.0,172.0,122.0,41.0,33.0,11.0,8.0,172.0
18-05-2014,157.0,106.0,48.0,22.0,8.0,4.0,157.0,106.0,48.0,22.0,8.0,4.0,157.0
19-05-2014,136.0,109.0,78.0,30.0,14.0,6.0,136.0,109.0,78.0,30.0,14.0,6.0,136.0
20-05-2014,149.0,126.0,19.0,35.0,13.0,8.0,149.0,126.0,19.0,35.0,13.0,8.0,149.0
21-05-2014,168.0,126.0,19.0,37.0,13.0,9.0,168.0,126.0,19.0,37.0,13.0,9.0,168.0
