name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-17,34.1,20.5,26.3,32.8,20.5,25.8,13,47.4,0,0,0,,0,0,26.3,18.4,296.5,1011,0,2.7,223.9,19.4,8,,2016-10-17T06:23:36,2016-10-17T17:49:51,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-18,34,19,26.5,32.5,19,26.1,13.2,46.6,0,0,0,,0,0,25.2,16.4,307.9,1010.1,0,2.8,224.4,19.4,8,,2016-10-18T06:24:13,2016-10-18T17:48:50,0.57,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-19,35,18,27,33.3,18,26.4,12.7,45,0,0,0,,0,0,23.8,14.6,298,1008.9,0,3,222.1,19.2,8,,2016-10-19T06:24:51,2016-10-19T17:47:51,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-20,34.6,19.1,26.6,33,19.1,26.1,11.9,43.2,0,0,0,,0,0,32.4,18.2,301.1,1007.8,0,3,221.3,19,8,,2016-10-20T06:25:28,2016-10-20T17:46:52,0.64,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-21,34.8,21,27.3,33.8,21,26.8,12.4,41.5,0,0,0,,0,0,32,16.6,298.2,1008.8,0,3.5,214.7,18.5,8,,2016-10-21T06:26:07,2016-10-21T17:45:54,0.67,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-22,35,21,27.4,33.8,21,27.1,13.8,45.3,0,0,0,,0,0,36,18.6,290.3,1009.8,0,3.4,214.9,18.6,8,,2016-10-22T06:26:45,2016-10-22T17:44:57,0.71,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-23,33,19,26.3,32,19,25.8,13.2,47.5,0,0,0,,0,0,39.6,18.4,295.4,1009.6,0,2.3,214.6,18.5,8,,2016-10-23T06:27:24,2016-10-23T17:44:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-24,34.1,20,26.2,32.2,20,25.6,12.1,44.2,0,0,0,,0,0,34.6,19,286.5,1008.6,0,2.9,213.3,18.3,8,,2016-10-24T06:28:04,2016-10-24T17:43:06,0.78,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-25,32.7,21.2,26.2,32.7,21.2,25.9,13.6,47.2,0,0,0,,0,0,34.6,18.6,297.1,1009.2,7.9,3.1,208.6,18.1,8,,2016-10-25T06:28:44,2016-10-25T17:42:12,0.81,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-10-26,33.8,19,25.7,32.7,19,25.3,14.2,53.1,0,0,0,,0,0,27,13,319.6,1011.8,0,2.5,208.4,18,8,,2016-10-26T06:29:24,2016-10-26T17:41:19,0.85,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
